,username,retweetCount,replyCount,followersCount
5733,cgtnafrica,20.0,3.0,144760.0
5512,bellanaija,20.0,9.0,1786560.0
8226,ruthmaclean,20.0,1.0,21195.0
795,BooksPajamas,20.0,5.0,1525.0
4801,WIONews,20.0,2.0,339825.0
2054,HorbhazheLugard,20.0,11.0,2240.0
7380,medievalpoc,20.0,1.0,50156.0
5659,bwthornton,20.0,0.0,16448.0
83,AA_Kultur,20.0,5.0,6344.0
4395,TORCHOxford,19.0,0.0,17012.0
4456,Thatadityaiyer,19.0,1.0,291.0
8814,tundeleye,19.0,6.0,22064.0
8421,slizzymusic,19.0,1.0,11587.0
5731,cgdhopkins,19.0,6.0,3969.0
3,100_worlds,19.0,2.0,1758.0
1457,DukeAAAS,19.0,0.0,15005.0
6482,godgate223,19.0,2.0,151.0
496,ArchaeoMapper,18.0,1.0,3929.0
3782,PropCazhPM,18.0,3.0,1495.0
2056,HornimanMuseum,18.0,1.0,45627.0
6865,jim_dickinson,18.0,0.0,8814.0
5208,alexmarshall81,18.0,8.0,4890.0
254,AfricaJacs,18.0,0.0,5861.0
3568,OyomwanO,18.0,7.0,1594.0
6996,kasujja,18.0,7.0,272782.0
7979,pinkykhoabane,18.0,2.0,57958.0
3398,Nofi_officiel,18.0,2.0,5657.0
1746,FrSMAG,18.0,5.0,862.0
616,BBCNorthEast,18.0,1.0,26873.0
4072,SandRussellArt,18.0,7.0,2449.0
1514,EditiEffiong,18.0,19.0,138852.0
6127,eatingwithgods,17.0,0.0,6695.0
6453,gidifeedtv,17.0,10.0,7196.0
9034,xoDrVenture,17.0,1.0,5953.0
7224,lootplunder,17.0,3.0,619.0
8212,royafrisoc,17.0,3.0,11696.0
1088,ComedyCentralUK,17.0,1.0,244806.0
1906,GrahameLucas,17.0,3.0,62268.0
6608,holatunboshift,17.0,2.0,3442.0
232,Adxpillar,17.0,6.0,5850.0
5629,brolezholloway,17.0,1.0,4726.0
5641,buffsoldier_96,16.0,6.0,10323.0
4631,Tracy10_,16.0,3.0,594.0
4778,VillBella,16.0,6.0,3424.0
4439,Telegraph,16.0,9.0,3051055.0
1780,GERinNigeria,16.0,0.0,2176.0
5272,amritabhinder,16.0,0.0,145643.0
8671,thebookseller,16.0,1.0,214649.0
698,BeninHistory,16.0,2.0,1184.0
5291,andrewahala,16.0,16.0,363.0
223,AdjayeAssoc,16.0,0.0,11197.0
1895,GodFinger_Doh,16.0,0.0,1707.0
6258,euronews,16.0,1.0,463569.0
7621,nevinomics,16.0,3.0,18010.0
5129,africlandpost,16.0,1.0,17992.0
678,BbkBerlin,16.0,7.0,1041.0
4139,SetP_officiel,15.0,1.0,1835.0
2591,LIDC_UK,15.0,0.0,5353.0
4459,TheAfricaCentre,15.0,0.0,10803.0
2165,Innanoshe,15.0,10.0,1763.0
1128,CryptoLoren,15.0,5.0,12746.0
2442,KH_KDK,15.0,0.0,139050.0
4957,ZoeCormack,15.0,3.0,2834.0
8885,vanguardngrnews,15.0,0.0,3138587.0
8441,snelsonus,15.0,2.0,4725.0
9037,xtinathornell,15.0,3.0,1232.0
5786,chowald5,15.0,0.0,618.0
8298,sbirn,15.0,2.0,1290.0
3256,NarudaaArnaud,15.0,0.0,5309.0
3751,PremiumTimesng,15.0,2.0,1663267.0
2754,Lonelystarrd22,15.0,4.0,374.0
6313,fimiletoks,15.0,1.0,36007.0
739,BinoandFino,15.0,0.0,2629.0
7098,kulturSPK,15.0,0.0,3430.0
6487,goldmannk,15.0,0.0,528.0
2324,JeremyVineOn5,15.0,182.0,140578.0
7475,mokersel,14.0,1.0,3160.0
7799,oluwashina,14.0,1.0,98684.0
8446,sodustrends,14.0,3.0,228.0
528,ArtLawADR,14.0,0.0,1871.0
6506,greg_jenner,14.0,4.0,113026.0
8691,themovehub,14.0,0.0,3528.0
7997,poetryinstone,14.0,0.0,6361.0
6724,induswaliarch,14.0,0.0,2358.0
122,AMBrandstetter,14.0,1.0,794.0
8804,trtworld,14.0,1.0,403876.0
4242,SokolowskiLuk,14.0,4.0,1328.0
3713,PietaGreaves,14.0,0.0,2372.0
4378,TANaudio,14.0,0.0,1351.0
1274,Davidmuchuchu,14.0,8.0,3409.0
3529,OrageAfricain,14.0,1.0,864.0
1917,GroomB,14.0,1.0,11734.0
3922,ReutersIndia,14.0,4.0,604232.0
7080,kolatubosun,14.0,2.0,14054.0
148,ARTXEDO,14.0,1.0,27.0
5258,ameyaw112,14.0,2.0,1176913.0
2957,MattAndersonNYT,14.0,4.0,15240.0
5283,ancientorigins,14.0,0.0,59284.0
2980,McZinsou,14.0,3.0,15834.0
221,AdesuwaVO,14.0,0.0,615.0
3420,NzekweGerald,13.0,0.0,4192.0
7739,official2baba,13.0,5.0,3198596.0
3513,OneworldNews,13.0,2.0,11107.0
5373,artatlegacy,13.0,0.0,229.0
4440,TelegraphNews,13.0,0.0,764184.0
5108,africa_location,13.0,1.0,2293.0
7672,nigeriantribune,13.0,4.0,520930.0
6010,dianalizia,13.0,1.0,2666.0
7200,livinspaces,13.0,0.0,589.0
8515,stephenniem,13.0,5.0,13432.0
3542,Osadav245,13.0,3.0,417.0
4223,SlaveryMuseum,13.0,0.0,16227.0
8991,willshome,13.0,0.0,4520.0
8228,ryanlenorabrown,13.0,0.0,3408.0
5952,davidfickling,12.0,2.0,16392.0
6627,hunteriandir,12.0,1.0,1375.0
1999,HenningMelber,12.0,1.0,4922.0
497,ArchaeoNewsNet,12.0,0.0,18932.0
2773,LouisaEgbunike,12.0,1.0,656.0
2239,JXM33L,12.0,3.0,1363.0
156,ASTENE1997,12.0,0.0,1312.0
899,CM_Anthro,12.0,4.0,895.0
7767,oke_alusi,12.0,0.0,1421.0
594,Austynzogs,12.0,2.0,12356.0
5719,celestocalculus,12.0,3.0,6602.0
5520,bermachis,12.0,0.0,176.0
1215,DailySabah,12.0,1.0,483461.0
6208,enebome,12.0,3.0,1186.0
3834,RTUKnews,12.0,5.0,93303.0
5845,conflictantiq,12.0,0.0,7705.0
1440,Dr_MaiMusie,12.0,3.0,4277.0
3776,ProfileBooks,12.0,0.0,30676.0
6852,jesscastellote,11.0,0.0,720.0
7050,kimaniwanjogu,11.0,0.0,4571.0
2540,Kinofrau1,11.0,5.0,910.0
3033,MikejBa,11.0,1.0,1263.0
4792,VoteLeaveCroy,11.0,1.0,11694.0
7319,marinamaral2,11.0,3.0,261330.0
4091,SarahRoller8,11.0,2.0,103.0
2764,LotteLeicht1,11.0,2.0,54933.0
2189,IsabelEiser,11.0,4.0,496.0
4786,Visit_Wakefield,11.0,7.0,7313.0
1989,HeldinEU,11.0,2.0,9531.0
2123,Ian_Mosby,11.0,2.0,11401.0
932,CarlaFerstman,11.0,0.0,3096.0
860,BundesKultur,11.0,0.0,13253.0
4997,_benjamming,11.0,3.0,3111.0
3684,Peter_Rabley,11.0,1.0,559.0
922,CapX,11.0,5.0,31774.0
1915,Greo234,11.0,0.0,1962.0
7865,oxfordastrology,11.0,2.0,13377.0
3149,MuseumAnth,11.0,0.0,1138.0
6139,edanderson101,11.0,1.0,9481.0
1037,ChurchTimes,11.0,2.0,42521.0
6402,galnorthof60,11.0,0.0,379.0
5121,africanews,11.0,0.0,53035.0
6767,istockhistory,11.0,0.0,38962.0
9038,yabaleftonline,11.0,5.0,713043.0
5181,akefestival,11.0,1.0,17403.0
8282,saratu,11.0,6.0,15534.0
623,BCRPM,11.0,1.0,2650.0
4457,The1stCenturion,11.0,1.0,2670.0
6692,ibrodoc_03,11.0,1.0,4487.0
6859,jhaentzschel,11.0,1.0,2648.0
3467,OgunyemiMD,11.0,0.0,4537.0
8626,temisol,11.0,3.0,1562.0
4080,Sankofah20,11.0,4.0,1208.0
2289,JanineGeorg,10.0,2.0,1230.0
4334,StudioTeaBreak,10.0,3.0,3780.0
8535,stxceolika,10.0,2.0,1274.0
5153,ahabsotherleg,10.0,1.0,102.0
6520,guardianopinion,10.0,1.0,133424.0
8020,press4change,10.0,1.0,6144.0
2107,I_am_ShukriM,10.0,3.0,98.0
4935,Yubbie007,10.0,5.0,269207.0
4830,WeberLiza,10.0,3.0,213.0
1095,Connected_dev,10.0,0.0,23525.0
4822,Was_Ihr_Wollt,10.0,5.0,771.0
420,Ancient06141713,10.0,1.0,899.0
7754,ogundamisi,10.0,6.0,609469.0
2648,LawrenceCrimmi1,10.0,1.0,159.0
