,title,link
153,JJ ECC803S MP 双極マッチ2本組 ミニチュア mT 双3極管 ...,https://www.rugbycs.it/YmZmN_DY_0OW/ccddda/33-ec1955f4/164572883807
154,Hong Kong activist Agnes Chow released on protest ...,https://latestnews.in.net/hong-kong-activist-agnes-chow-released-on-protest-anniversary-hong-kong-protests-news/
155,The Benin Bronzes: A Tragic Story of Slavery and Imperialism ...,https://www.ancient-origins.net/artifacts-other-artifacts/benin-bronzes-008565
156,African History -The Stolen Benin Bronzes | Transition Studies,https://environmentaljusticetv.wordpress.com/2020/09/03/african-history-the-stolen-benin-bronzes/
157,Germany to return looted Benin bronze artefacts to Nigeria ...,https://myaimreport.com/2021/04/30/germany-to-return-looted-benin-bronze-artefacts-to-nigeria/
158,Cultural Treasures Should Be Returned - DebateWise,https://debatewise.org/2555-cultural-treasures/
159,Découvrez l'actualité par pays : BÉNIN - Afrique Actualités,https://www.afrique-actualites.com/news/benin/14/
360,"Law, Restitution and the Benin Bronzes | Institute of Art and Law",https://ial.uk.com/law-restitution-and-the-benin-bronzes/
368,"The Brutish Museums: The Benin Bronzes, Colonial Violence ...",https://www.shelflifebookshop.com/nonfiction/p/pre-order-the-brutish-museums-the-benin-bronzes-colonial-violence-and-cultural-restitution-dan-hicks
375,The Brutish Museums: The Benin Bronzes ... - Amazon UK,https://www.amazon.co.uk/Brutish-Museums-Colonial-Violence-Restitution/dp/0745341764
448,"The Brutish Museums: The Benin Bronzes, Colonial Violence ...",https://housmans.com/event/the-brutish-museums-the-benin-bronzes-colonial-violence-and-cultural-restitution-with-dan-hicks-online-event/
1073,Germany ponders return of looted colonial bronzes to Nigeria ...,https://www.globaltimes.cn/page/202103/1219464.shtml
1074,Loot: The ongoing conflict over African artefacts in European ...,https://www.the-tls.co.uk/articles/loot-barnaby-phillips-brutish-museums-dan-hicks-review-adam-kuper/
1078,Essay: Bring home the looted Benin Bronzes | Trouw,https://www.trouw.nl/nieuws/essay-bring-home-the-looted-benin-bronzes~ba60d5a4/
1079,Alarm over criminalisation of Benin Bronze protester - Lexology,https://www.lexology.com/library/detail.aspx?g=2b973195-44a7-4234-afe8-9550d027a2ff
1133,Met Museum Announces Return of Two Benin Bronzes to ...,https://www.nytimes.com/2021/06/09/arts/design/met-museum-benin-bronzes-nigeria.html
1135,Review: 'Loot' Tells of the Benin Bronzes from an African ...,https://www.artnews.com/art-news/news/loot-barnaby-phillips-review-benin-bronzes-1234591506/
1171,The Benin Bronzes: Towards the Resolution of a Long ...,https://morningside-alliance.org/event/the-benin-bronzes-towards-the-resolution-of-a-long-standing-dispute/
1173,The week in art news – staff accuse Barbican Centre of being ...,https://www.apollo-magazine.com/art-news-barbican-centre-staff-institutional-racism/
1178,Columbia University Italian Academy: The Benin Bronzes ...,https://medren.columbia.edu/news/columbia-university-italian-academy-benin-bronzes-towards-resolution-long-standing-dispute
1400,"The Brutish Museums: The Benin Bronzes, Colonial Violence ...",https://www.amazon.ca/Brutish-Museums-Colonial-Violence-Restitution-ebook/dp/B08L5CLGSW
