,author,count,surname,race,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",african
155,b petitjean,2,petitjean,"GreaterEuropean,British",0.0050542634,0.008868851,0.038518764,0.010128603,0.012264786,0.46404135,0.024098963,0.014924873,0.19628692,0.017711239,0.1480063,0.058592763,0.0015023057,Non-African
956,mp mckenna,2,mckenna,"GreaterEuropean,British",0.00518683,0.00336633,0.0023161094,0.004730025,0.00050459034,0.9415835,0.00062588917,0.0012875088,0.016368642,0.0024743068,0.0086181415,0.011566281,0.0013719471,Non-African
166,b weltman-aron,2,weltman-aron,"GreaterEuropean,Jewish",0.0003896817,0.0015353771,0.0003943479,0.0010415006,0.004952823,0.068083495,0.00872946,0.83616567,0.008130297,0.02881823,0.031355187,0.0019644047,0.008439543,Non-African
1081,r gozzoli,2,gozzoli,"GreaterEuropean,WestEuropean,Italian",0.000109681285,6.866115e-05,6.407789e-05,0.0010227326,0.00055112253,0.0031427334,0.0031084116,0.0052359393,0.012118062,0.0019291594,0.028804552,0.94319737,0.0006475515,Non-African
897,m o'neill,2,o'neill,"GreaterEuropean,British",0.005697433,0.01223947,0.001628634,0.00067176705,0.0006830076,0.94646484,0.00066291005,0.006014275,0.003397892,0.0012810394,0.014051444,0.0017505033,0.005456625,Non-African
971,n america,2,america,"GreaterEuropean,WestEuropean,Italian",0.00365027,0.014681789,0.0032521486,0.029768992,0.0029150054,0.072359525,0.0017494253,0.008400174,0.015066197,0.0013568238,0.19070096,0.6550921,0.0010065319,Non-African
154,b petijean,2,petijean,"GreaterEuropean,British",0.012794774,0.030688575,0.039990038,0.04009039,0.01619239,0.33321458,0.12918556,0.029042061,0.11786486,0.0152358785,0.18855244,0.04521894,0.0019294554,Non-African
891,m messling,2,messling,"GreaterEuropean,British",0.003208009,0.00040799906,0.0029638126,0.004191093,0.0066141533,0.43362203,0.03427372,0.2154753,0.10117557,0.12243041,0.012238394,0.0019175747,0.06148192,Non-African
561,j braune,2,braune,"GreaterEuropean,British",0.006985707,0.003722954,0.0030773173,0.0034365368,0.0050360328,0.43643877,0.038837284,0.23669338,0.091055386,0.04768301,0.023135928,0.014697853,0.08919985,Non-African
368,e nemeth,2,nemeth,"GreaterEuropean,British",0.015482579,0.014922928,0.016433265,0.10165971,0.014689286,0.5527377,0.01676815,0.104473785,0.019083241,0.051350176,0.034203593,0.0085736,0.049621977,Non-African
902,m restall,2,restall,"GreaterEuropean,British",0.029989727,0.005489268,0.0009191299,0.0021955206,0.0050605256,0.73247814,0.0046544247,0.049367454,0.077007696,0.003665093,0.03654259,0.023375344,0.02925508,Non-African
264,d amaral,2,amaral,"GreaterEuropean,WestEuropean,Hispanic",0.001216037,0.013623775,0.057176873,0.011335304,0.026937794,0.013284709,0.040771708,0.23292461,0.03392638,0.004208086,0.43510187,0.12792167,0.0015711953,Non-African
365,e lucie-smith,2,lucie-smith,"GreaterEuropean,British",0.00041678778,0.00052254496,0.00038698525,0.003171521,0.009940831,0.9725743,0.00013330036,0.0075910445,0.0024641515,0.0003033973,0.0010755118,0.0010750821,0.00034446156,Non-African
825,ld pittman,2,pittman,"GreaterEuropean,Jewish",0.0015819792,0.0013720809,0.0016998199,0.0008954231,0.0010311158,0.44318366,0.02840357,0.49219307,0.013189797,0.007215421,0.004348925,0.0032988482,0.0015863304,Non-African
650,ja kreder,2,kreder,"GreaterEuropean,Jewish",0.0012766,0.00051047956,0.017289585,0.0031596324,0.0055705975,0.074984334,0.1061617,0.53070575,0.026590899,0.14459875,0.049754117,0.009523585,0.029873984,Non-African
261,cr this week,2,this week,"GreaterEuropean,EastEuropean",0.05109268,0.04524431,0.0702531,0.08511139,0.058713846,0.03849742,0.5127248,0.023840547,0.0048123267,0.041834164,0.062098037,0.002271154,0.0035061243,Non-African
1068,r bauval,2,bauval,"GreaterEuropean,WestEuropean,French",0.00067594915,0.00028805283,0.005544144,0.0012118887,0.0018794173,0.06849536,0.0055536614,0.00915235,0.8367976,0.010748269,0.042288564,0.012970831,0.004394014,Non-African
1265,t young,2,young,"GreaterEuropean,British",0.04063518,0.00038023235,0.0016401798,0.0018210694,0.0018274639,0.91646755,0.0021014411,0.016092023,0.0067654583,0.00092184567,0.007655102,0.0016195768,0.0020728854,Non-African
500,h howes,2,howes,"GreaterEuropean,British",0.0016356839,0.0038718428,0.0020284925,0.0018764201,0.0008337096,0.97088313,0.00046224997,0.005020936,0.004388201,0.00091508735,0.003472846,0.0008256867,0.0037859136,Non-African
919,ma lemley,2,lemley,"GreaterEuropean,British",0.0057789185,0.0017468563,0.0033699307,0.0045725037,0.0031152458,0.8114566,0.009061988,0.052634954,0.058109585,0.033849094,0.0070857205,0.0047342405,0.0044843922,Non-African
562,j brown,2,brown,"GreaterEuropean,British",0.003820107,0.0039569247,0.0030355754,0.0026089468,0.00292851,0.8819096,0.0011844177,0.07057167,0.0069589927,0.000839033,0.014516503,0.0036904672,0.003979282,Non-African
258,cp act,2,act,"GreaterEuropean,British",0.01592656,0.024783984,0.10974847,0.022386018,0.03819911,0.32743663,0.06741078,0.09498269,0.123296484,0.02866357,0.047580384,0.07925404,0.020331303,Non-African
1154,s falkoff,2,falkoff,"GreaterEuropean,EastEuropean",0.0009248465,0.00073444156,0.0042589805,0.00086625764,0.0054977504,0.06436651,0.4343454,0.39648664,0.018542247,0.03219415,0.015374786,0.005103315,0.021304775,Non-African
892,m moniruzzaman,2,moniruzzaman,"GreaterEuropean,WestEuropean,Italian",0.00465409,0.0036017257,0.058453333,0.07498074,0.16877134,0.20535578,0.0033782958,0.012243414,0.06718341,0.001106507,0.05315647,0.34347937,0.003635533,Non-African
152,b party,2,party,"GreaterEuropean,British",0.083019994,0.0029795154,0.18007839,0.008163378,0.013041514,0.45046785,0.03056877,0.03556278,0.110113576,0.0033745882,0.03072121,0.04546218,0.0064461892,Non-African
852,m brown,2,brown,"GreaterEuropean,British",0.003820107,0.0039569247,0.0030355754,0.0026089468,0.00292851,0.8819096,0.0011844177,0.07057167,0.0069589927,0.000839033,0.014516503,0.0036904672,0.003979282,Non-African
882,m hudson,2,hudson,"GreaterEuropean,British",0.0012377057,0.0034646168,0.003167451,0.006717335,0.008350077,0.8847548,0.0014204718,0.04275511,0.012093584,0.0029128157,0.009368666,0.004844908,0.018912438,Non-African
1086,r kuner,2,kuner,"GreaterAfrican,Muslim",0.003166653,0.016862458,0.14978997,0.059806738,0.27862003,0.064148284,0.033350855,0.19688462,0.02277252,0.089311205,0.063534625,0.015149077,0.0066029485,African
855,m chimento,2,chimento,"GreaterEuropean,WestEuropean,Hispanic",0.0051433276,0.07823011,0.0013564096,0.068572946,0.00011215541,0.018323807,0.0006268189,0.006318358,0.003433607,0.00061697717,0.7292172,0.087852426,0.00019590044,Non-African
1184,s sarapani,2,sarapani,"Asian,IndianSubContinent",0.0006011247,0.0022688417,0.63128597,0.015499423,0.028772496,0.043657582,0.004809872,0.019425713,0.046103846,0.00085516117,0.05333724,0.15324327,0.00013950236,Non-African
943,mi teixeira,2,teixeira,"GreaterEuropean,WestEuropean,Hispanic",0.0065254015,0.016381001,0.003126263,0.0271609,0.0033345358,0.011006339,0.0016028897,0.007234343,0.009200988,0.0009883139,0.90705293,0.0053611593,0.0010248027,Non-African
511,h silverman,2,silverman,"GreaterEuropean,Jewish",0.00064535363,0.0009206775,0.0004177949,0.0005199626,0.0008498792,0.13447644,0.04106649,0.80588204,0.004703125,0.0021293755,0.0040564956,0.0031025799,0.0012299647,Non-African
246,ch act,2,act,"GreaterEuropean,British",0.01592656,0.024783984,0.10974847,0.022386018,0.03819911,0.32743663,0.06741078,0.09498269,0.123296484,0.02866357,0.047580384,0.07925404,0.020331303,Non-African
201,c dunn,2,dunn,"GreaterEuropean,British",0.0013651235,0.00066604954,0.058935627,0.00070086087,0.0012929408,0.8537782,0.003335125,0.031493522,0.0020772885,0.008670781,0.0043661376,0.0013994203,0.031918947,Non-African
322,dg josefowicz,2,josefowicz,"GreaterEuropean,EastEuropean",0.00075617654,9.760677e-05,0.00039025102,0.0011126815,0.0007443189,0.15308458,0.58055115,0.2238509,0.00836634,0.0046956795,0.017901782,0.008068802,0.00037977952,Non-African
873,m goldsworthy,2,goldsworthy,"GreaterEuropean,British",0.0046736486,0.0035050996,0.014628627,0.0033125964,0.00057176244,0.94968057,0.0014389195,0.0071008666,0.0068868115,0.0012757374,0.00364513,0.002660831,0.0006194673,Non-African
203,c ferwerda,2,ferwerda,"GreaterEuropean,WestEuropean,Italian",0.0022854125,0.0046851807,0.05509773,0.10303249,0.048983186,0.11439789,0.056534875,0.04122145,0.02826299,0.045987353,0.17409731,0.30846807,0.01694604,Non-African
1202,se esterling,2,esterling,"GreaterEuropean,British",0.0020087494,0.010990596,0.00078357,0.0062915585,0.021174407,0.6285846,0.03249903,0.19292347,0.007678134,0.025008209,0.021625193,0.004767132,0.045665346,Non-African
594,j kohl,2,kohl,"GreaterEuropean,WestEuropean,Nordic",0.022202404,0.009835012,0.2282875,0.015858913,0.007411219,0.08533399,0.00467845,0.1313545,0.008820518,0.030597452,0.007822803,0.009953729,0.43784347,Non-African
593,j kila,2,kila,"Asian,IndianSubContinent",0.020505384,0.011421978,0.4037742,0.116700396,0.12228667,0.05741516,0.04314284,0.040448718,0.043078344,0.0133428695,0.061084785,0.04342855,0.023370106,Non-African
1199,sa naguib,2,naguib,"Asian,GreaterEastAsian,Japanese",0.0030964615,0.96247745,0.00018873329,0.01634128,0.0007569312,0.0026249294,0.00015876652,0.0006647598,0.0023290021,2.625604e-05,0.008710257,0.0020360495,0.0005891662,Non-African
209,c hitchens,2,hitchens,"GreaterEuropean,British",0.007388541,0.0031880867,0.02129104,0.009957005,0.0007777753,0.763551,0.0037658548,0.023050712,0.12896155,0.007049466,0.019399468,0.008070457,0.003549125,Non-African
1198,s within paris,2,within paris,"GreaterEuropean,WestEuropean,Italian",0.04899459,0.021983001,0.07595265,0.030092375,0.030225858,0.17167895,0.027544102,0.037561826,0.0902431,0.14150909,0.13664763,0.17337337,0.014193531,Non-African
1197,s waxman,2,waxman,"GreaterEuropean,Jewish",0.0069183744,0.00907097,0.056116275,0.0077692927,0.015814038,0.20651715,0.07775052,0.53819144,0.015333225,0.044514623,0.015562202,0.0056583025,0.0007836013,Non-African
875,m guy,2,guy,"GreaterEuropean,WestEuropean,French",0.08213207,0.0066788015,0.0178377,0.015421213,0.021635087,0.24729288,0.01617112,0.015751626,0.47901705,0.0091555,0.08113402,0.0055605355,0.0022124685,Non-African
514,h sugiura,2,sugiura,"Asian,GreaterEastAsian,Japanese",0.007230036,0.9554408,0.0010714924,0.013833294,0.0022204695,0.0019803953,0.0004407506,0.0015417164,0.0020485844,0.00013455845,0.0064921933,0.0074364506,0.00012917869,Non-African
590,j jordan,2,jordan,"GreaterEuropean,British",0.0023320084,0.0023936296,0.022759853,0.0017585815,0.01782817,0.7892906,0.0059270654,0.04073862,0.07418457,0.0066660955,0.021117525,0.010131328,0.004871878,Non-African
1165,s komura,2,komura,"Asian,GreaterEastAsian,Japanese",0.01247808,0.8499506,0.012702866,0.061234474,0.00080339465,0.03098497,0.0026918421,0.004995899,0.006000269,0.0003482365,0.0060967766,0.011332388,0.00038025755,Non-African
317,ddy flores,2,flores,"GreaterEuropean,WestEuropean,Hispanic",0.004871963,0.0054449197,0.0065838806,0.0014380785,0.005169483,0.06970735,0.0037809273,0.03540935,0.11631342,0.0028423953,0.7102219,0.025740968,0.012475432,Non-African
1189,s stobbe,2,stobbe,"GreaterEuropean,British",0.00089732325,0.0005521522,0.0033144383,0.025178779,0.01357034,0.7793579,0.010502679,0.07752909,0.014711648,0.013455205,0.011333719,0.032757852,0.016838862,Non-African
1168,s levin,2,levin,"GreaterEuropean,Jewish",0.00095742923,0.0025879955,0.00041249147,0.00018998988,0.0051486455,0.06470311,0.074614465,0.8048462,0.03464267,0.0012330434,0.0059763337,0.0034412653,0.0012463056,Non-African
509,h rooke,2,rooke,"GreaterEuropean,British",0.0027127562,5.647392e-05,0.007384701,0.0019866244,0.0015434048,0.96695554,0.00033803194,0.0036336556,0.004686355,0.00721249,0.0027576657,0.00037700892,0.0003553865,Non-African
