,surname,count,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race,african
3003,erbes,1,0.0047346856,0.006023033,0.021643346,0.13043928,0.06268413,0.23216523,0.05082773,0.13577127,0.042294703,0.13642676,0.074467175,0.0139453355,0.08857733,"GreaterEuropean,British",Non-African
3004,eric,1,0.010209138,0.016673122,0.0136903785,0.030512018,0.22313784,0.099532284,0.09474808,0.08934725,0.20707227,0.014227933,0.06770139,0.11974152,0.013406774,"GreaterAfrican,Muslim",African
3005,erkenntnis,1,0.0037979304,0.0005405966,0.039128877,0.0076165632,0.034157123,0.21996737,0.040351834,0.5757981,0.0058869966,0.00932933,0.00854068,0.014648741,0.04023594,"GreaterEuropean,Jewish",Non-African
3006,erkine,1,0.0067875213,0.00088099594,0.016342174,0.013544621,0.39089546,0.17294313,0.1980348,0.11997425,0.05691182,0.0033780243,0.013408617,0.006181565,0.0007169889,"GreaterAfrican,Muslim",African
3007,ermine,1,0.0056096627,0.0025551387,0.03135345,0.020387853,0.23335926,0.08019022,0.23699488,0.04233443,0.23432131,0.006552768,0.032167558,0.0709372,0.003236234,"GreaterEuropean,EastEuropean",Non-African
3008,ernst remer,1,0.011544456,0.0025095525,0.0053663556,0.00888011,0.0059161764,0.51290876,0.022108708,0.03931655,0.19679743,0.09426065,0.029412735,0.014338443,0.05664003,"GreaterEuropean,British",Non-African
3009,eroffnungsteil,1,0.0034571532,0.0013750688,0.0014825026,0.0010280135,0.0009340708,0.09380253,0.030430887,0.68342125,0.05545659,0.08267759,0.031135984,0.0052333623,0.009564985,"GreaterEuropean,Jewish",Non-African
3010,erschließung,1,0.020979282,0.002783518,2.8611339e-05,0.0031951014,0.008899306,0.02706079,0.09471488,0.006161412,0.039224878,0.115391694,0.0053277495,0.0026360417,0.6735967,"GreaterEuropean,WestEuropean,Nordic",Non-African
3011,esneh,1,0.021879526,0.0045860643,0.000575128,0.07217695,0.17616253,0.06447356,0.2872772,0.22131126,0.064387344,0.025858054,0.029904353,0.014129534,0.017278574,"GreaterEuropean,EastEuropean",Non-African
3012,esposa real,1,7.6498836e-05,0.00033931414,0.0009143091,0.0006945714,0.014912743,0.16549268,0.019384613,0.17286065,0.2485269,0.0020763916,0.35655326,0.01639975,0.0017683316,"GreaterEuropean,WestEuropean,Hispanic",Non-African
3013,esposa real del,1,0.00052353134,0.00042824686,0.00061362545,0.0013032218,0.007836098,0.11296955,0.010259771,0.014262489,0.2533691,0.030418191,0.26916623,0.2928418,0.006008212,"GreaterEuropean,WestEuropean,Italian",Non-African
3014,essais,1,0.0017836711,0.0012939681,0.0036150664,0.031374272,0.077789366,0.020276994,0.0020207092,0.038121622,0.5057474,0.011593991,0.12020664,0.15738757,0.02878879,"GreaterEuropean,WestEuropean,French",Non-African
3015,essex,1,0.0027354858,0.0022488418,0.0015538614,0.0027003644,0.008517239,0.50351113,0.020810103,0.08386412,0.3149827,0.018453129,0.023750426,0.009258876,0.007613616,"GreaterEuropean,British",Non-African
3016,est-ce,1,0.005898449,0.007691429,0.009090383,0.007872688,0.028815415,0.5187914,0.013505107,0.10643306,0.014721849,0.002768184,0.031172428,0.24497907,0.008260486,"GreaterEuropean,British",Non-African
3017,esther,1,0.0033693688,0.0036478203,0.005309927,0.010033907,0.013072691,0.6040687,0.017571209,0.06426311,0.08437149,0.03813258,0.029979123,0.011564776,0.114615336,"GreaterEuropean,British",Non-African
3018,eszterhas',1,0.0016423741,0.0002559167,0.00039210205,0.006807714,0.024835682,0.40707147,0.003853546,0.25861648,0.21443714,0.01713914,0.052524313,0.0043369615,0.008087166,"GreaterEuropean,British",Non-African
3019,ethical traveler's,1,0.00012701545,0.004730254,0.16229288,0.0039643627,0.06570788,0.059885483,0.003685361,0.006309781,0.0007286073,0.0005702082,0.041894212,0.6491759,0.0009280803,"GreaterEuropean,WestEuropean,Italian",Non-African
3020,ethics,1,0.00018440378,0.0016669426,0.013833694,0.0059131365,0.0027475047,0.7427686,0.0014413033,0.1635556,0.011091806,0.0018780667,0.03957141,0.013440997,0.0019065487,"GreaterEuropean,British",Non-African
3021,ethnografischen museen,1,0.0017460047,0.01444413,0.00073216803,0.0018924364,0.0038217183,0.076816134,0.026057674,0.0139726205,0.084308766,0.3266069,0.12493908,0.2104216,0.114240825,"GreaterEuropean,WestEuropean,Germanic",Non-African
3022,ettlinger,1,0.0040284046,0.0018361607,0.0047429968,0.0041958033,0.0043676784,0.13403317,0.030491533,0.45328096,0.08046015,0.17895657,0.05105272,0.027809106,0.024744805,"GreaterEuropean,Jewish",Non-African
3023,european,1,0.035573382,0.0037291865,0.007366434,0.0044879327,0.013962392,0.62382716,0.15927173,0.027150573,0.049700487,0.01658708,0.020136504,0.03757696,0.0006302038,"GreaterEuropean,British",Non-African
3024,eve,1,0.0047392575,0.0034437936,0.0030342687,0.015281279,0.015377752,0.68963456,0.031384677,0.07865949,0.04561578,0.010955726,0.012309105,0.053763945,0.035800338,"GreaterEuropean,British",Non-African
3025,ergo,1,0.0024019608,0.0035146778,0.009642359,0.21705158,0.024442475,0.07667366,0.033057366,0.045009103,0.052198406,0.01082367,0.3383987,0.18500245,0.0017836235,"GreaterEuropean,WestEuropean,Hispanic",Non-African
3026,epigraphy,1,0.019812062,0.0034138693,0.0047820876,0.0075668404,0.015390499,0.26697463,0.13888244,0.03197824,0.20590861,0.0089828335,0.011890287,0.27001476,0.01440287,"GreaterEuropean,WestEuropean,Italian",Non-African
3027,elementary saegertown schools,1,0.0024922013,0.005131565,0.0005096634,0.0011138561,0.001535835,0.8267596,0.00081946433,0.0036004959,0.0034912697,0.025308838,0.012401789,0.082046025,0.034789268,"GreaterEuropean,British",Non-African
3028,ephraim,1,0.0013639538,0.0012599055,0.032568507,0.09963916,0.20106007,0.08747102,0.028842751,0.19497302,0.10053611,0.11979721,0.080948904,0.021759963,0.029779455,"GreaterAfrican,Muslim",African
